id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
909599602099457470,,518973389,,,,19.4185843,-99.1548908,,1100.0,2.0,27.0,,1.47,2.0,315,10.0,
909683755284512251,,181058239,,,,19.394017845034536,-99.17535999043918,,600.0,1.0,59.0,,3.22,1.0,91,15.0,
909762853927905314,,469527331,,,,19.41691170039393,-99.16595604692148,,290.0,1.0,86.0,,4.91,18.0,351,59.0,
909769563951861331,,23468816,,,,19.40406108648066,-99.1680835069153,,2952.0,2.0,43.0,,2.4,73.0,328,26.0,
910055042100584128,,519076838,,,,19.434112433289673,-99.1435915585883,,1387.0,3.0,27.0,,1.65,1.0,326,18.0,
910126442697060172,,146908093,,,,19.39759,-99.18032,,,14.0,2.0,,0.12,2.0,145,1.0,
910367721313360873,,267684040,,,,19.432652017232854,-99.16666623204948,,2600.0,2.0,48.0,,2.74,1.0,336,41.0,
910484429361506070,,469527331,,,,19.41851,-99.16588,,338.0,1.0,75.0,,4.0,18.0,326,35.0,
910542250029016237,,23468816,,,,19.41408,-99.17902,,2684.0,2.0,63.0,,3.42,73.0,347,39.0,
910859153551768657,,355750680,,,,19.4143771,-99.17072,,3187.0,2.0,35.0,,1.91,9.0,331,28.0,
910885716095340583,,124743956,,,,19.4030242,-99.1708281,,273.0,1.0,48.0,,2.55,7.0,168,39.0,
910917088536890245,,342962056,,,,19.388803486142574,-99.14208244532348,,1200.0,1.0,37.0,,1.97,4.0,170,23.0,
910959486670889107,,518619984,,,,19.4414109,-99.0926959,,440.0,1.0,47.0,,2.52,2.0,244,20.0,
910974050681751390,,245618000,,,,19.40839,-99.17478,,3061.0,1.0,70.0,,3.89,117.0,28,45.0,
910986273643676657,,245618000,,,,19.40744318363394,-99.1728887242912,,3104.0,1.0,53.0,,3.03,117.0,18,40.0,
910998629987970682,,245618000,,,,19.407016910624,-99.17303350971036,,3368.0,1.0,62.0,,3.37,117.0,25,43.0,
911005364343293741,,247124094,,,,19.36864,-99.14764,,790.0,1.0,19.0,,1.17,2.0,262,17.0,
911041702651349916,,63677292,,,,19.4077184,-99.1603831,,430.0,2.0,6.0,,0.55,9.0,260,6.0,
911043904363192004,,63677292,,,,19.40742295832462,-99.16044866018947,,550.0,1.0,11.0,,0.6,9.0,358,3.0,
911123448437250279,,245618000,,,,19.40878906364976,-99.17299579325972,,3061.0,1.0,94.0,,5.23,117.0,38,62.0,
911167433859817738,,147798318,,,,19.42793,-99.13754,,342.0,1.0,0.0,,,2.0,364,0.0,
911450112308723951,,441960288,,,,19.391363914727975,,,600.0,2.0,6.0,,0.37,2.0,88,3.0,
911536426639869936,,519411193,,,,19.451983,-99.1322873,,915.0,1.0,2.0,,0.12,1.0,209,0.0,
911591797968448937,,245618000,,,,19.407121347697743,-99.17330196960006,,3368.0,1.0,57.0,,3.13,117.0,28,40.0,
911594435838487647,,518404548,,,,19.349199239987737,-99.17492093732508,,750.0,2.0,7.0,,0.38,1.0,287,0.0,
911602842012258489,,311642374,,,,19.4309048,-99.1511067,,,1.0,42.0,,2.39,2.0,0,28.0,
911625013259586620,,245618000,,,,19.40761,-99.1749,,3318.0,1.0,75.0,,4.24,117.0,34,49.0,
911669558305576674,,245618000,,,,19.40755,-99.17312,,3339.0,1.0,82.0,,4.51,117.0,56,52.0,
911693947485560998,,245618000,,,,19.40851,-99.17476,,1533.0,1.0,79.0,,4.45,117.0,34,65.0,
911741200211317925,,245618000,,,,19.407006883627975,-99.17477192968346,,1625.0,1.0,111.0,,6.26,117.0,45,73.0,
911752005142092553,,485129900,,,,,-99.09013,,715.0,1.0,3.0,,0.16,3.0,269,0.0,
911792760321495447,,519490984,,,,19.4429892,-99.201544,,2329.0,2.0,28.0,,1.57,1.0,116,20.0,
911871000228412879,,476416470,,,,19.4184448,-99.0949619,,2371.0,1.0,10.0,,0.61,4.0,351,6.0,
911875782735719633,,469527331,,,,19.4176291,-99.166524,,374.0,1.0,71.0,,3.82,18.0,363,38.0,
912043028420564865,,333035396,,,,19.38413350411173,-99.1971130742952,,937.0,1.0,100.0,,5.34,,356,67.0,
912256175779417628,,513191084,,,,19.43181,-99.167656,,599.0,1.0,1.0,,0.05,9.0,365,0.0,
912263486504434260,,64059986,,,,19.40728297193347,-99.16135434656124,,490.0,1.0,17.0,,0.98,12.0,359,3.0,
912278260546748805,,120820730,,,,19.4481847069338,-99.21978905797005,,,2.0,22.0,,1.19,1.0,0,11.0,
912282968568576594,,521411591,,,,19.41128,-99.17186,,2139.0,1.0,40.0,,2.28,2.0,3,26.0,
912296673930711231,,488131426,,,,19.39303,-99.08679,,650.0,2.0,7.0,,0.43,2.0,351,5.0,
912300776461200546,,517584654,,,,19.41439,-99.15701,,,1.0,4.0,,1.45,3.0,365,4.0,
912300781012595520,,517584654,,,,19.41363793942427,-99.15646981447937,,456.0,1.0,0.0,,,3.0,364,0.0,
912357336191772140,,517874307,,,,19.30867,-99.15044,,382.0,1.0,8.0,,0.57,2.0,365,6.0,
912377953876189000,,113825849,,,,19.43749,-99.17832,,2099.0,3.0,15.0,,0.82,5.0,316,11.0,
912403550209848440,,378360224,,,,19.447812194722985,-99.19186418382328,,500.0,1.0,74.0,,4.3,11.0,300,54.0,
912405867755126189,,661767,,,,19.43094,-99.16224,,1359.0,2.0,34.0,,1.84,1.0,356,22.0,
912409343733491779,,499836247,,,,19.414209,-99.1622853,,2932.0,1.0,7.0,,0.43,14.0,291,4.0,
912417878906196476,,6753519,,,,19.41264851407084,-99.1582309712898,,888.0,20.0,11.0,,0.59,3.0,25,3.0,
912427939386059815,,519102011,,,,19.38139,-99.14618,,356.0,1.0,33.0,,1.84,1.0,362,23.0,
912444738418372014,,35255741,,,,19.43646,-99.209095,,3654.0,1.0,105.0,,5.61,31.0,342,65.0,
912448743996784238,,9361904,,,,19.41824167749156,-99.15640535396729,,350.0,1.0,2.0,,0.31,1.0,285,2.0,
912484308791873099,,371986157,,,,19.3861501,-99.1608275,,,1.0,44.0,,2.39,1.0,0,20.0,
912486719336415205,,529118974,,,,19.407569061580467,-99.1717048116394,,7781.0,3.0,66.0,,3.59,59.0,301,40.0,
912499736165830990,,98913644,,,,19.436480220954053,-99.16277007504569,,450.0,1.0,12.0,,0.69,3.0,54,6.0,
912507796628713503,,220768680,,,,19.32754,-99.16169,,230.0,3.0,11.0,,0.71,9.0,146,8.0,
912645899705166046,,41963013,,,,19.4304567,-99.1889357,,2427.0,4.0,37.0,,2.0,36.0,322,24.0,
912700915647655828,,104697061,,,,19.34724,-99.17294,,546.0,2.0,39.0,,2.12,5.0,180,21.0,
912881421565173039,,493937808,,,,19.41215,-99.16655,,,2.0,31.0,,1.68,2.0,0,19.0,
913036088909257184,,515240052,,,,19.43163283730218,-99.19474066507608,,2124.0,1.0,34.0,,1.83,8.0,146,22.0,
913054311743476224,,211422117,,,,19.433564096772148,-99.15328974327248,,1300.0,30.0,1.0,,0.05,2.0,89,0.0,
913061837410335828,,360480220,,,,19.4412,-99.19562,,2400.0,2.0,70.0,,3.9,17.0,55,46.0,
913105633563676804,,164557581,,,,19.43373428681653,-99.15635548532008,,1371.0,2.0,50.0,,2.71,3.0,148,34.0,
913122524254512845,,519850514,,,,19.43044404643955,-99.14734838955845,,1110.0,2.0,72.0,,4.04,1.0,247,50.0,
913139674648290928,,430951110,,,,19.41364583094334,-99.16340840317504,,1157.0,1.0,23.0,,1.25,5.0,310,12.0,
913159491171383382,,519801348,,,,19.4380722,-99.2018253,,2076.0,1.0,171.0,,,8.0,363,,
913159745666643082,,519801348,,,,19.4380722,-99.2018253,,2107.0,1.0,44.0,,2.34,8.0,363,15.0,
913159826465349601,,519801348,,,,19.4380722,-99.2018253,,2107.0,1.0,44.0,,2.34,8.0,359,27.0,
913169491281896340,,519801348,,,,19.4380722,-99.2018253,,2017.0,1.0,24.0,,1.28,8.0,361,9.0,
913191484458195987,,320978886,,,,19.38249214196598,-99.15752329259992,,616.0,2.0,62.0,,3.32,1.0,76,32.0,
913198236628347695,,467838160,,,,19.4298076,-99.2041123,,2679.0,1.0,59.0,,3.22,8.0,250,39.0,
913234930355572765,,519275050,,,,19.45220387567324,-99.15731416479872,,409.0,1.0,1.0,,0.06,2.0,364,0.0,
913256138160766114,,485805036,,,,19.39843,-99.19164,,895.0,1.0,21.0,,1.25,27.0,261,4.0,
913297305602288452,,499228004,,,,19.429308462594072,-99.09643605952456,,940.0,1.0,11.0,,0.6,4.0,362,3.0,
913352223472269893,,11883879,,,,19.41608,-99.16411,,1749.0,2.0,32.0,,1.78,1.0,319,19.0,
913355866534830803,,101677181,,,,19.4204684911074,-99.1412679836264,,,2.0,4.0,,0.24,2.0,226,0.0,
913408526223989643,,519896069,,,,19.321565638528355,,,403.0,1.0,29.0,,1.59,4.0,357,20.0,
913694931432604948,,519988973,,,,19.4378532,-99.1363949,,860.0,4.0,26.0,,1.48,1.0,249,18.0,
913714533975119282,,211422117,,,,19.424907722840754,-99.16995167723188,,1400.0,3.0,2.0,,0.11,2.0,89,1.0,
913725157048746003,,515240052,,,,19.429655424751573,-99.19630976269436,,2104.0,1.0,8.0,,0.43,8.0,150,3.0,
913726283762985005,,371298561,,,,19.43744354806814,-99.1733542249484,,1000.0,2.0,70.0,,3.76,1.0,4,34.0,
913762847537232978,,517874307,,,,19.30976030404279,-99.1495979949832,,346.0,1.0,22.0,,1.18,2.0,365,13.0,
913774342912820567,,842287,,,,19.4112834,-99.176041,,1658.0,1.0,24.0,,1.41,3.0,328,19.0,
913781341180602637,,333035396,,,,19.419042261908903,-99.14504460990428,,911.0,1.0,58.0,,3.14,,361,35.0,
913781368195498707,,432651974,,,,19.41484955263129,-99.16512858887492,,4853.0,2.0,30.0,,2.0,2.0,163,26.0,
913794609709103792,,497321461,,,,19.39965,,,2000.0,3.0,0.0,,,1.0,90,0.0,
913807219343148437,,156093375,,,,,-99.17096514254808,,5129.0,1.0,50.0,,2.72,1.0,361,27.0,
913814672332132075,,21851589,,,,19.403922962378353,-99.17561350599188,,873.0,5.0,0.0,,,1.0,363,0.0,
913825556260909507,,20516898,,,,19.44054,-99.19729,,1650.0,2.0,22.0,,1.24,1.0,347,11.0,
913850896159461703,,453151882,,,,19.45139,-99.15725,,,2.0,0.0,,,1.0,89,0.0,
913857758641598736,,503111214,,,,19.4233917,-99.1655817,,2953.0,1.0,113.0,,6.14,3.0,363,30.0,
913904441824669127,,19753224,,,,19.43579,-99.14425,,1800.0,1.0,51.0,,2.77,19.0,83,30.0,
913973001959273140,,520071780,,,,19.426609835038725,-99.16292935684338,,2061.0,1.0,1.0,,0.07,6.0,178,0.0,
913987975047278644,,6726591,,,,19.41544572807937,-99.16243135929108,,3599.0,5.0,9.0,,0.59,3.0,292,5.0,
914017350078798270,,178539795,,,,19.4062438,-99.1644893,,999.0,1.0,2.0,,0.12,1.0,45,0.0,
